efe_mode,run_id,final_budget,avg_efficiency,max_efficiency,min_efficiency,total_attacks,attacks_detected,verification_count,avg_motor_temp,max_motor_temp,overheating_steps,avg_load
full,0,302.087998686824,0.6486688967297475,10.24437427520752,0.0,8,4,0,25.020449663798015,39.826148986816406,0,0.5876254095075031
full,1,241.85370576940477,0.4419342567274968,9.859915733337402,0.0,3,0,0,25.62054297765096,38.3472900390625,0,0.37767311378847807
full,2,247.4416061192751,0.46206726799408593,9.623549461364746,0.0,7,6,0,25.19636370340983,38.302825927734375,0,0.4109857213582533
epistemic_only,0,267.8624289371073,0.5305327209830284,9.66568660736084,0.0,9,5,0,19.39104674657186,36.84758377075195,0,0.46693676178234755
epistemic_only,1,443.628879009746,1.1196622218688328,11.130681991577148,0.0,7,3,0,24.423026682535806,47.95492935180664,0,1.076611489612454
epistemic_only,2,220.80611011199653,0.37890656672418116,10.190611839294434,0.0,2,1,0,18.334590606689453,37.27794647216797,0,0.31120447032228793
pragmatic_only,0,1989.2967003292042,6.622752196960899,23.20585060119629,0.0,10,3,0,42.821658763885495,82.63707733154297,12,7.261267883186228
pragmatic_only,1,3345.535524965948,13.388224567046047,23.53226661682129,0.964130855264809,8,5,0,70.5594249979655,88.48247528076172,76,18.51580786069234
pragmatic_only,2,4696.256255640618,15.885498001341539,22.885353088378906,3.6085111447978813,3,2,0,66.7049764251709,81.72847747802734,26,17.01789768854777
